Country,2000,2020
Afghanistan,1208.44,1208.44
Albania,769.3,788.9
Algeria,1579.0,1949.0
American Samoa,17.73,17.13
Andorra,16.0,16.0
Angola,77708.61,66607.38
Anguilla,5.5,5.5
Antigua and Barbuda,9.45,8.12
Argentina,33378.0,28573.0
Armenia,332.64,328.47
Aruba,0.42,0.42
Australia,131814.1,134005.1
Austria,3838.14,3899.15
Azerbaijan,987.22,1131.77
Bahamas,509.86,509.86
Bahrain,0.37,0.7
Bangladesh,1920.33,1883.4
Barbados,6.3,6.3
Belarus,8273.0,8767.6
Belgium,667.3,689.3
Belize,1459.3,1277.05
Benin,4135.15,3135.15
Bermuda,1.0,1.0
Bhutan,2606.0,2725.08
"Bonaire, Sint Eustatius and Saba",1.91,1.91
Bosnia and Herzegovina,2111.65,2187.91
Botswana,17620.7,15254.7
Brazil,551088.6,496619.6
Brunei Darussalam,397.0,380.0
Bulgaria,3375.0,3893.0
Burkina Faso,7216.5,6216.4
Burundi,193.94,279.64
Cambodia,10781.0,8068.37
Cameroon,21597.49,20340.48
Canada,347801.97,346928.1
Cayman Islands,12.93,12.72
Central African Republic,22903.0,22303.0
Chad,6353.0,4313.0
Chile,15817.06,18210.7
China,177000.55,219978.18
Colombia,62735.5,59141.91
Comoros,41.68,32.92
Congo,22195.0,21946.0
Cook Islands,15.57,15.59
Costa Rica,2857.22,3034.87
Côte d'Ivoire,5094.45,2836.71
Croatia,1885.0,1939.11
Cuba,2435.0,3242.0
Curaçao,0.07,0.07
Cyprus,171.61,172.53
Denmark,571.6,628.44
Djibouti,5.6,5.8
Dominica,47.87,47.87
Dominican Republic,1972.47,2144.1
Ecuador,13730.5,12497.83
Egypt,59.21,44.98
El Salvador,673.88,583.88
Equatorial Guinea,2615.58,2448.42
Eritrea,1118.46,1055.26
Estonia,2238.89,2438.4
Ethiopia,18528.5,17068.5
Falkland Islands (Malvinas),0.0,0.0
Faroe Islands,0.08,0.08
Fiji,1006.47,1140.02
Finland,22445.64,22409.0
France,15288.0,17253.0
French Polynesia,148.55,149.46
Gabon,23700.0,23530.6
Gambia,357.33,242.67
Georgia,2760.6,2822.4
Germany,11354.0,11419.0
Ghana,8848.61,7985.71
Gibraltar,0.0,0.0
Greece,3600.23,3901.8
Greenland,0.22,0.22
Grenada,17.7,17.7
Guadeloupe,72.27,71.92
Guam,24.0,28.0
Guatemala,4209.2,3527.8
Guernsey,0.23,0.42
Guinea,6929.0,6189.0
Guinea-Bissau,2148.88,1980.01
Guyana,18564.22,18415.34
Haiti,380.65,347.3
Honduras,6778.27,6359.26
Hungary,1921.17,2053.01
Iceland,29.83,51.35
India,67591.0,72160.0
Indonesia,101280.0,92133.2
Iraq,818.0,825.0
Ireland,630.36,782.02
Isle of Man,3.46,3.46
Israel,153.0,140.0
Italy,8369.25,9566.13
Jamaica,521.0,596.89
Japan,24876.0,24935.0
Jersey,0.6,0.6
Jordan,97.5,97.5
Kazakhstan,3156.93,3454.68
Kenya,3961.19,3611.09
Kiribati,1.18,1.18
Kuwait,4.85,6.25
Kyrgyzstan,1180.9,1315.38
Lao People's Democratic Republic,17425.0,16595.5
Latvia,3241.0,3410.79
Lebanon,138.18,143.33
Lesotho,34.52,34.52
Liberia,8222.64,7617.44
Libya,217.0,217.0
Liechtenstein,6.7,6.7
Lithuania,2020.0,2201.0
Luxembourg,86.7,88.7
Madagascar,13030.67,12429.81
Malawi,3081.7,2241.7
Malaysia,19691.35,19114.04
Maldives,0.82,0.82
Mali,13296.0,13296.0
Malta,0.35,0.46
Marshall Islands,9.4,9.4
Martinique,48.74,52.29
Mauritania,421.64,312.8
Mauritius,41.93,38.77
Mayotte,15.67,13.89
Mexico,68381.35,65692.08
Monaco,0.0,0.0
Mongolia,14263.9,14172.78
Montenegro,626.0,827.0
Montserrat,2.5,2.5
Morocco,5506.54,5742.49
Mozambique,41188.0,36743.76
Myanmar,34868.11,28543.89
Namibia,8059.08,6638.9
Nauru,0.0,0.0
Nepal,5780.76,5962.03
Netherlands,359.5,369.5
New Caledonia,837.85,838.02
New Zealand,9850.44,9892.59
Nicaragua,5399.32,3407.53
Niger,1328.1,1079.7
Nigeria,24893.04,21626.95
Niue,18.83,18.87
Norfolk Island,0.49,0.49
Northern Mariana Islands,31.96,24.36
Norway,12113.0,12180.0
Oman,3.0,2.5
Pakistan,4511.26,3725.9
Palau,39.58,41.41
Panama,4442.14,4213.84
Papua New Guinea,36277.97,35855.76
Paraguay,22991.65,16102.26
Peru,75297.83,72330.37
Philippines,7309.26,7188.59
Pitcairn,3.5,3.5
Poland,9059.0,9483.0
Portugal,3281.0,3312.0
Puerto Rico,429.15,496.33
Qatar,0.0,0.0
Réunion,90.97,98.44
Romania,6366.0,6929.05
Russian Federation,809268.5,815311.6
Rwanda,287.0,276.0
Saint Barthélemy,0.17,0.17
Saint Kitts and Nevis,11.0,11.0
Saint Lucia,21.01,20.77
Saint Pierre and Miquelon,1.67,1.22
Saint Vincent and the Grenadines,28.54,28.54
Samoa,171.31,161.67
San Marino,1.0,1.0
Sao Tome and Principe,58.36,51.9
Saudi Arabia,977.0,977.0
Senegal,8853.16,8068.16
Serbia,2460.0,2722.65
Seychelles,33.7,33.7
Sierra Leone,2929.43,2534.88
Singapore,17.01,15.57
Sint Maarten (Dutch part),0.37,0.37
Slovakia,1901.41,1925.9
Slovenia,1233.0,1237.83
Solomon Islands,2537.6,2522.97
Somalia,7515.0,5980.0
South Africa,17778.09,17050.09
South Sudan,7157.0,7157.0
Spain,17093.93,18572.17
Sri Lanka,2166.42,2113.02
Sudan,21826.16,18359.55
Suriname,15340.87,15196.29
Sweden,28163.0,27980.0
Switzerland,1196.18,1269.11
Syrian Arab Republic,432.08,522.08
Tajikistan,410.0,423.8
Thailand,18998.0,19873.0
Timor-Leste,949.1,921.1
Togo,1268.46,1209.27
Tokelau,0.0,0.0
Tonga,8.95,8.95
Trinidad and Tobago,236.65,228.19
Tunisia,667.85,702.73
Turkey,20148.35,22220.36
Turkmenistan,4127.0,4127.0
Turks and Caicos Islands,10.52,10.52
Tuvalu,1.0,1.0
Uganda,3162.95,2337.9
Ukraine,9510.0,9690.0
United Arab Emirates,309.43,317.3
Uruguay,1369.0,2031.0
Uzbekistan,2961.46,3689.66
Vanuatu,442.3,442.3
Viet Nam,11784.1,14643.09
Western Sahara,669.31,665.07
Yemen,549.0,549.0
Zambia,47054.0,44814.03
Zimbabwe,18365.98,17444.58
Bolivia ,55101.39,50833.76
British Virgin Islands,3.67,3.62
Cabo Verde,39.72,45.72
Czechia,2637.29,2677.09
Democratic People's Republic of Korea,6454.69,6030.09
Democratic Republic of the Congo,143899.0,126155.24
Eswatini,473.28,497.56
French Guyana,8079.44,8002.85
Iran ,9325.66,10751.87
Micronesia ,63.86,64.42
North Macedonia,957.55,1001.49
Palestine,9.08,10.14
Republic of Korea,6476.0,6287.0
Republic of Moldova,344.4,386.5
United Kingdom of Great Britain and Northern Ireland,2954.0,3190.0
United Republic of Tanzania,53670.01,45745.0
United States Virgin Islands,20.47,19.91
United States of America,303536.0,309795.0
Venezuela ,49151.0,46230.9
